,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9
fxn_exposed_is_np,0.005774055336940618,0.007449958463052548,0.007483745204466295,0.006732160083902835,0.005988606100604967,0.005394670232892786,0.008254116135376171,0.00651282327874415,0.006568705001732672,0.007861887385433726
hbond_bb_sc,0.0053766796377744935,0.006633659726161226,0.006584461317637012,0.005736687207568902,0.004579754751299368,0.006112504628017817,0.008188457272385102,0.006959461218365574,0.00564589352460638,0.004833929969834645
hbond_lr_bb,0.003436139311985771,0.005669800590717444,0.005716892404575057,0.003915894897866107,0.003498726347563009,0.0032101388796830534,0.004840254270286333,0.004963980055975803,0.0026367877452682285,0.004461317208245907
hbond_lr_bb_per_sheet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbond_sc,0.0054197489923951065,0.00635115884085822,0.0061217910396845565,0.005011279497710385,0.004553957000510282,0.0061372526722579665,0.007675151818650217,0.006933428559510303,0.005121236869430314,0.006108423127888753
hbond_sr_bb,0.007394590280736679,0.0070206799246462035,0.008231783231129365,0.005613416109602354,0.006131722339959604,0.004541920585859866,0.006169447964818384,0.006410087045463329,0.005852996280869305,0.006346192339241746
hbond_sr_bb_per_helix,0.0071525930936743596,0.00728420947821379,0.007362451613277948,0.005786050564966899,0.005627178706222535,0.0044600015303664624,0.007038668213003635,0.007593403885504544,0.006065531724879115,0.006795057491794028
helix_sc,0.005829652707882113,0.008456467550051663,0.00990594356348865,0.0055614984924751,0.005215526982330419,0.00580294452033867,0.007224302233201836,0.00935846712915887,0.005599632363152302,0.0070030556361014695
holes,0.0068566001426675705,0.00799694434917503,0.00805469804319656,0.007400795747058961,0.006473912774188758,0.005360234473659415,0.008375582864494408,0.00828165736109838,0.007764900209278426,0.008703109667288468
hphob_sc_contacts,0.04043745552076924,0.034503090909275135,0.04031653454839388,0.019969674779182787,0.016154449315135523,0.05208731739262834,0.035130815290927854,0.032285914325259124,0.01782372108500886,0.06665066348770489
hphob_sc_degree,0.011210712065505618,0.007853248485554506,0.007262291120100586,0.008888749930648733,0.006372876082757689,0.009735518152837746,0.008361546207463611,0.006752124502594228,0.008387671143824795,0.010442402559516697
